region,month,depth_m,temp_mean_c,temp_std_c,salinity_mean_psu,salinity_std_psu,current_speed_mean_ms,current_speed_std_ms,sample_count
Arabian Sea,5,75.0,25.9844,0.50246,35.04528,0.06674,0.53078,0.02756,65
Arabian Sea,5,100.0,25.17302,0.41989,35.02754,0.06061,0.50201,0.03595,65
Arabian Sea,5,150.0,23.66842,0.52172,34.99469,0.06405,0.45511,0.03337,75
Arabian Sea,5,200.0,22.25632,0.42736,34.97496,0.06113,0.40488,0.0349,64
Arabian Sea,5,300.0,19.94512,0.44382,34.94637,0.06914,0.34529,0.0392,53
Arabian Sea,5,500.0,16.52906,0.48835,34.99247,0.07211,0.22517,0.02806,53
Arabian Sea,5,750.0,14.23209,0.47671,35.09666,0.07785,0.13991,0.03293,40
Arabian Sea,5,1000.0,12.64878,0.49914,35.22473,0.06726,0.09449,0.03218,38
Arabian Sea,5,1500.0,11.7144,0.45147,35.5215,0.07876,0.05117,0.02703,39
Arabian Sea,5,2000.0,11.18808,0.46843,35.85043,0.07576,0.04107,0.01957,35
Arabian Sea,6,0.0,28.61952,0.43942,35.16836,0.07167,0.55969,0.04409,69
Arabian Sea,6,10.0,28.29457,0.3983,35.178,0.06219,0.53849,0.05795,58
Arabian Sea,6,25.0,27.67682,0.41743,35.14542,0.05037,0.53015,0.04871,59
Arabian Sea,6,50.0,26.65481,0.47188,35.11015,0.05047,0.49918,0.04923,61
Arabian Sea,6,75.0,25.65812,0.49173,35.07982,0.05323,0.47346,0.04494,79
Arabian Sea,6,100.0,24.87043,0.49364,35.07081,0.05692,0.44697,0.03749,63
Arabian Sea,6,150.0,23.29564,0.46315,35.02956,0.06587,0.4126,0.04593,64
Arabian Sea,6,200.0,21.9506,0.41484,35.01811,0.06234,0.36237,0.04245,73
Arabian Sea,6,300.0,19.49478,0.42895,34.99378,0.06687,0.28354,0.03575,69
Arabian Sea,6,500.0,16.19087,0.47162,35.02167,0.05553,0.20976,0.03523,41
Arabian Sea,6,750.0,13.87599,0.39889,35.13161,0.07555,0.12376,0.03921,40
Arabian Sea,6,1000.0,12.56274,0.45675,35.25725,0.09056,0.08046,0.03614,29
Arabian Sea,6,1500.0,11.3488,0.47346,35.57206,0.06622,0.05318,0.02784,42
Arabian Sea,6,2000.0,11.05806,0.46338,35.86924,0.08924,0.0438,0.02416,30
Arabian Sea,7,0.0,28.1321,0.44465,35.22674,0.06543,0.38158,0.06807,70
Arabian Sea,7,10.0,27.80756,0.3911,35.22822,0.06566,0.37083,0.05799,59
Arabian Sea,7,25.0,27.13648,0.47899,35.17307,0.06388,0.35895,0.07358,51
Arabian Sea,7,50.0,26.15437,0.42584,35.16705,0.06956,0.35812,0.06902,77
Arabian Sea,7,75.0,25.23653,0.44472,35.13613,0.05911,0.33888,0.05859,63
Arabian Sea,7,100.0,24.39698,0.46974,35.0922,0.06449,0.31969,0.05255,59
Arabian Sea,7,150.0,22.81549,0.47912,35.06383,0.06533,0.28031,0.0575,63
Arabian Sea,7,200.0,21.44937,0.45439,35.05849,0.0573,0.24709,0.05315,65
Arabian Sea,7,300.0,19.25506,0.41563,35.03268,0.06044,0.2173,0.04778,51
Arabian Sea,7,500.0,15.83042,0.49119,35.08737,0.07277,0.13602,0.03645,38
Arabian Sea,7,750.0,13.50189,0.31322,35.20195,0.06658,0.09008,0.02872,36
Arabian Sea,7,1000.0,12.11287,0.45882,35.3035,0.06588,0.06644,0.02179,36
Arabian Sea,7,1500.0,10.93616,0.48676,35.61922,0.07483,0.04843,0.02284,54
Arabian Sea,7,2000.0,10.35721,0.4332,35.91338,0.09574,0.03841,0.01849,25
Arabian Sea,8,0.0,27.78195,0.44342,35.27635,0.05791,0.19263,0.04616,79
Arabian Sea,8,10.0,27.24124,0.43775,35.25371,0.06508,0.20133,0.04879,76
Arabian Sea,8,25.0,26.86837,0.40557,35.23192,0.06041,0.20341,0.05235,52
Arabian Sea,8,50.0,25.73228,0.41872,35.20217,0.06568,0.18227,0.04865,72
Arabian Sea,8,75.0,24.99181,0.43285,35.18812,0.06149,0.16805,0.04223,59
Arabian Sea,8,100.0,23.88418,0.43134,35.13904,0.05666,0.17375,0.04883,66
Arabian Sea,8,150.0,22.52779,0.40293,35.12589,0.06735,0.15015,0.04143,47
Arabian Sea,8,200.0,21.02839,0.43164,35.11069,0.05938,0.13652,0.04345,50
Arabian Sea,8,300.0,18.70928,0.4727,35.08102,0.05899,0.11847,0.03977,56
Arabian Sea,8,500.0,15.57775,0.39709,35.09932,0.05613,0.08329,0.03767,44
Arabian Sea,8,750.0,12.99426,0.41537,35.21339,0.06534,0.05472,0.02839,50
Arabian Sea,8,1000.0,11.81016,0.41431,35.33477,0.08563,0.05465,0.02823,36
Arabian Sea,8,1500.0,10.52731,0.41901,35.66757,0.08058,0.04666,0.02018,40
Arabian Sea,8,2000.0,10.1626,0.51149,35.95367,0.07523,0.03889,0.01877,29
Arabian Sea,9,0.0,27.49414,0.48151,35.29591,0.06311,0.20885,0.05181,80
Arabian Sea,9,10.0,27.04573,0.43576,35.26354,0.05653,0.22185,0.05366,64
Arabian Sea,9,25.0,26.52252,0.42616,35.25141,0.05636,0.20355,0.0465,72
Arabian Sea,9,50.0,25.53064,0.41048,35.22044,0.05867,0.18856,0.04657,95
Arabian Sea,9,75.0,24.5574,0.44377,35.1985,0.06837,0.17122,0.03953,52
Arabian Sea,9,100.0,23.8772,0.38166,35.18252,0.05196,0.18467,0.04061,65
Arabian Sea,9,150.0,22.25445,0.45107,35.14073,0.05523,0.15945,0.04312,70
Arabian Sea,9,200.0,20.76035,0.46462,35.11678,0.05767,0.14504,0.04254,54
Arabian Sea,9,300.0,18.42511,0.49115,35.10431,0.06349,0.11369,0.03676,47
Arabian Sea,9,500.0,15.31581,0.47029,35.12607,0.05981,0.07982,0.03395,46
Arabian Sea,9,750.0,12.82167,0.4579,35.24807,0.06553,0.07053,0.0331,40
Arabian Sea,9,1000.0,11.59704,0.39559,35.38138,0.05863,0.05318,0.02329,33
Arabian Sea,9,1500.0,10.34064,0.39607,35.64799,0.07399,0.04447,0.01922,42
Arabian Sea,9,2000.0,9.8124,0.38218,35.97314,0.07144,0.04816,0.02539,20
Arabian Sea,10,0.0,27.45597,0.4445,35.30259,0.0668,0.3399,0.04601,72
Arabian Sea,10,10.0,27.08045,0.42177,35.28576,0.06045,0.34088,0.04667,64
Arabian Sea,10,25.0,26.41146,0.43761,35.25512,0.06011,0.33675,0.04437,62
Arabian Sea,10,50.0,25.52877,0.34542,35.22762,0.06285,0.32374,0.05025,85
Arabian Sea,10,75.0,24.62755,0.41348,35.18733,0.05326,0.30341,0.04269,72
Arabian Sea,10,100.0,23.61773,0.46529,35.16908,0.05426,0.28281,0.03711,74
Arabian Sea,10,150.0,22.28927,0.39504,35.13913,0.05764,0.26081,0.04326,57
Arabian Sea,10,200.0,20.75174,0.43746,35.11243,0.05427,0.23448,0.0508,62
Arabian Sea,10,300.0,18.5026,0.4702,35.10973,0.05137,0.18932,0.03804,45
Arabian Sea,10,500.0,15.25234,0.40582,35.12302,0.06911,0.13487,0.04132,44
Arabian Sea,10,750.0,12.75969,0.45399,35.25962,0.04825,0.09318,0.03624,45
Arabian Sea,10,1000.0,11.2421,0.48608,35.38639,0.07512,0.06224,0.03304,28
Arabian Sea,10,1500.0,10.31049,0.43716,35.68473,0.08766,0.04172,0.02212,38
Arabian Sea,10,2000.0,9.8151,0.45184,35.99044,0.08789,0.04356,0.02421,36
Arabian Sea,11,0.0,27.65526,0.43723,35.26513,0.05915,0.41838,0.0364,85
Arabian Sea,11,10.0,27.17977,0.4597,35.25364,0.05207,0.40205,0.03309,51
Arabian Sea,11,25.0,26.65655,0.50114,35.2395,0.06989,0.39939,0.0346,49
Arabian Sea,11,50.0,25.65005,0.4798,35.20547,0.05992,0.37862,0.03978,65
Arabian Sea,11,75.0,24.77724,0.48245,35.17665,0.05977,0.36415,0.03528,71
Arabian Sea,11,100.0,23.86336,0.40483,35.1706,0.0683,0.34993,0.04273,72
Arabian Sea,11,150.0,22.2654,0.41169,35.11861,0.06524,0.31851,0.03657,59
Arabian Sea,11,200.0,20.95127,0.39836,35.09974,0.05374,0.27593,0.03436,51
Arabian Sea,11,300.0,18.54424,0.42938,35.07716,0.06507,0.2377,0.02804,52
Arabian Sea,11,500.0,15.34231,0.43541,35.12402,0.0662,0.1552,0.03875,43
Arabian Sea,11,750.0,12.82742,0.40249,35.22028,0.05992,0.10554,0.02914,28
Arabian Sea,11,1000.0,11.6804,0.38352,35.37516,0.07085,0.07012,0.03016,46
Arabian Sea,11,1500.0,10.44734,0.44494,35.66215,0.06703,0.04986,0.0234,43
Arabian Sea,11,2000.0,10.06626,0.36697,35.94957,0.0753,0.04791,0.02628,29
Arabian Sea,12,0.0,27.90421,0.44963,35.24641,0.05803,0.38094,0.03999,89
Arabian Sea,12,10.0,27.56149,0.51281,35.22406,0.05136,0.37887,0.04076,60
Arabian Sea,12,25.0,26.93865,0.4258,35.19517,0.05954,0.37029,0.04007,68
Arabian Sea,12,50.0,26.01263,0.39695,35.17933,0.0596,0.35471,0.04153,70
Arabian Sea,12,75.0,25.16269,0.42235,35.13588,0.06085,0.33459,0.03849,48
Arabian Sea,12,100.0,24.29817,0.42838,35.12075,0.05927,0.32259,0.04272,58
Arabian Sea,12,150.0,22.64913,0.48573,35.09191,0.05812,0.29114,0.03937,57
Arabian Sea,12,200.0,21.26756,0.43813,35.06712,0.05526,0.26208,0.03504,58
Arabian Sea,12,300.0,18.87582,0.45571,35.06035,0.06854,0.22268,0.03508,54
Arabian Sea,12,500.0,15.71505,0.50751,35.08507,0.06598,0.14081,0.03158,50
Arabian Sea,12,750.0,13.165,0.46614,35.19925,0.07399,0.09925,0.03246,43
Arabian Sea,12,1000.0,11.92203,0.41588,35.30986,0.07209,0.06082,0.02727,46
Arabian Sea,12,1500.0,10.652,0.44909,35.63041,0.07678,0.0532,0.02783,46
Arabian Sea,12,2000.0,10.38856,0.38182,35.92284,0.08124,0.05086,0.02748,37
Bay of Bengal,1,0.0,28.52199,0.36307,33.36915,0.06732,0.4179,0.04833,161
Bay of Bengal,1,10.0,28.18171,0.37355,33.49034,0.0639,0.40976,0.0444,138
Bay of Bengal,1,25.0,27.47922,0.38908,33.64194,0.06236,0.40217,0.04617,118
Bay of Bengal,1,50.0,26.53666,0.371,33.89066,0.05436,0.37362,0.0441,137
Bay of Bengal,1,75.0,25.65609,0.37075,34.08663,0.06053,0.35514,0.04019,117
Bay of Bengal,1,100.0,24.76734,0.38738,34.26181,0.05845,0.33461,0.04651,113
Bay of Bengal,1,150.0,23.26222,0.38529,34.50619,0.06335,0.31297,0.04517,121
Bay of Bengal,1,200.0,21.7729,0.3828,34.68756,0.05978,0.28548,0.03829,99
Bay of Bengal,1,300.0,19.52264,0.35006,34.92526,0.06219,0.22714,0.03875,104
Bay of Bengal,1,500.0,16.25325,0.37057,35.17915,0.05852,0.15727,0.03381,97
Bay of Bengal,1,750.0,13.82409,0.36598,35.36643,0.05925,0.09805,0.03481,79
Bay of Bengal,1,1000.0,12.49836,0.40709,35.52322,0.06644,0.0684,0.02877,81
Bay of Bengal,1,1500.0,11.25669,0.40909,35.82488,0.07252,0.04819,0.02495,67
Bay of Bengal,1,2000.0,10.89988,0.43859,36.1447,0.06807,0.04491,0.02323,64
Bay of Bengal,2,0.0,28.90748,0.36972,33.2915,0.05471,0.43643,0.05007,128
Bay of Bengal,2,10.0,28.43339,0.38102,33.417,0.05,0.43027,0.04051,104
Bay of Bengal,2,25.0,27.84512,0.39973,33.56712,0.05937,0.41405,0.04354,104
Bay of Bengal,2,50.0,26.94347,0.3694,33.81679,0.05212,0.39539,0.04169,115
Bay of Bengal,2,75.0,26.0163,0.33714,34.02618,0.05863,0.3829,0.04076,117
Bay of Bengal,2,100.0,25.15895,0.36501,34.188,0.05952,0.36154,0.0383,103
Bay of Bengal,2,150.0,23.59998,0.35346,34.45766,0.05648,0.31766,0.03918,113
Bay of Bengal,2,200.0,22.21072,0.40896,34.646,0.05454,0.29508,0.03984,115
Bay of Bengal,2,300.0,19.92881,0.35865,34.89395,0.05624,0.24254,0.03528,99
Bay of Bengal,2,500.0,16.61865,0.34883,35.14434,0.05982,0.1634,0.03824,90
Bay of Bengal,2,750.0,14.15737,0.4024,35.35415,0.06124,0.10359,0.03416,64
Bay of Bengal,2,1000.0,12.83848,0.4183,35.49552,0.06744,0.07182,0.03169,80
Bay of Bengal,2,1500.0,11.6442,0.40501,35.81466,0.0771,0.05129,0.0244,84
Bay of Bengal,2,2000.0,11.40886,0.27774,36.11998,0.08774,0.04397,0.02156,61
Bay of Bengal,3,0.0,29.08875,0.32876,33.2914,0.05476,0.36035,0.05275,142
Bay of Bengal,3,10.0,28.72209,0.34075,33.40538,0.06389,0.35949,0.05183,114
Bay of Bengal,3,25.0,28.11811,0.37236,33.57957,0.05231,0.3522,0.05362,112
Bay of Bengal,3,50.0,27.14944,0.3513,33.81868,0.04971,0.33323,0.04903,158
Bay of Bengal,3,75.0,26.20985,0.38876,34.0218,0.05972,0.32232,0.04577,112
Bay of Bengal,3,100.0,25.36238,0.40163,34.18514,0.05949,0.30398,0.04803,111
Bay of Bengal,3,150.0,23.84739,0.35306,34.45124,0.05918,0.27381,0.04392,118
Bay of Bengal,3,200.0,22.46745,0.36195,34.62893,0.05855,0.2524,0.04642,136
Bay of Bengal,3,300.0,20.16762,0.36538,34.87006,0.05823,0.2077,0.03755,103
Bay of Bengal,3,500.0,16.87493,0.35738,35.12693,0.05954,0.13654,0.03802,84
Bay of Bengal,3,750.0,14.44874,0.35314,35.31019,0.06382,0.09173,0.03221,66
Bay of Bengal,3,1000.0,13.11913,0.34424,35.48726,0.06659,0.06331,0.0253,77
Bay of Bengal,3,1500.0,11.84299,0.43746,35.79616,0.07318,0.04911,0.02369,81
Bay of Bengal,3,2000.0,11.56087,0.37073,36.07417,0.07528,0.05265,0.02579,50
Bay of Bengal,4,0.0,29.1669,0.36095,33.37819,0.06405,0.25361,0.05394,143
Bay of Bengal,4,10.0,28.80998,0.33825,33.50147,0.07042,0.24058,0.05168,112
Bay of Bengal,4,25.0,28.15472,0.35132,33.65288,0.06275,0.24222,0.04929,121
Bay of Bengal,4,50.0,27.17998,0.36945,33.88375,0.05407,0.21858,0.04841,129
Bay of Bengal,4,75.0,26.2781,0.3832,34.07736,0.06237,0.20802,0.04787,129
Bay of Bengal,4,100.0,25.41115,0.33847,34.23803,0.05891,0.21111,0.05182,105
Bay of Bengal,4,150.0,23.90044,0.34499,34.46876,0.05731,0.18742,0.04478,130
Bay of Bengal,4,200.0,22.52648,0.36857,34.6505,0.05786,0.17605,0.04394,116
Bay of Bengal,4,300.0,20.22463,0.34012,34.87906,0.05879,0.13461,0.03912,103
Bay of Bengal,4,500.0,16.95016,0.35715,35.11523,0.06265,0.0941,0.03456,76
Bay of Bengal,4,750.0,14.35019,0.38737,35.29326,0.0751,0.06163,0.03197,61
Bay of Bengal,4,1000.0,13.09458,0.36869,35.46136,0.06484,0.05268,0.02789,74
Bay of Bengal,4,1500.0,11.92708,0.41316,35.7626,0.07182,0.04358,0.02288,75
Bay of Bengal,4,2000.0,11.60482,0.35937,36.05849,0.07106,0.04728,0.02344,48
Bay of Bengal,5,0.0,29.03741,0.33046,33.53539,0.0643,0.2243,0.03849,157
Bay of Bengal,5,10.0,28.62185,0.32106,33.6436,0.06716,0.21663,0.04098,117
Bay of Bengal,5,25.0,28.0456,0.33542,33.7717,0.06622,0.21073,0.03963,109
Bay of Bengal,5,50.0,27.07905,0.36606,33.9913,0.06474,0.20577,0.04019,138
Bay of Bengal,5,75.0,26.13116,0.36255,34.16542,0.06103,0.19196,0.04105,122
Bay of Bengal,5,100.0,25.33753,0.36459,34.31869,0.05994,0.18967,0.03904,138
Bay of Bengal,5,150.0,23.65994,0.39401,34.52776,0.06541,0.17109,0.03567,125
Bay of Bengal,5,200.0,22.35483,0.37241,34.68418,0.06211,0.15355,0.03641,116
Bay of Bengal,5,300.0,19.96992,0.35634,34.88867,0.06454,0.12489,0.03516,92
Bay of Bengal,5,500.0,16.7636,0.36596,35.10359,0.05756,0.08773,0.03699,87
Bay of Bengal,5,750.0,14.42898,0.3505,35.27147,0.05576,0.07076,0.03127,60
Bay of Bengal,5,1000.0,12.98987,0.36712,35.43116,0.0606,0.04417,0.02464,78
Bay of Bengal,5,1500.0,11.77941,0.35073,35.73392,0.06877,0.04625,0.02473,78
Bay of Bengal,5,2000.0,11.50748,0.41382,36.04236,0.07799,0.0411,0.02396,62
Bay of Bengal,6,0.0,28.76464,0.35137,33.69031,0.06947,0.32957,0.05463,170
Bay of Bengal,6,10.0,28.37007,0.34142,33.7918,0.06669,0.32547,0.05058,115
Bay of Bengal,6,25.0,27.73531,0.37417,33.92729,0.074,0.32115,0.04682,123
Bay of Bengal,6,50.0,26.74797,0.3639,34.1268,0.06265,0.30308,0.05131,137
Bay of Bengal,6,75.0,25.89705,0.36933,34.27734,0.0608,0.28224,0.04645,116
Bay of Bengal,6,100.0,24.99487,0.3407,34.4058,0.06581,0.27539,0.04659,128
Bay of Bengal,6,150.0,23.46817,0.38528,34.60394,0.06565,0.24586,0.04144,123
Bay of Bengal,6,200.0,22.05073,0.37097,34.73701,0.06031,0.22475,0.04447,116
Bay of Bengal,6,300.0,19.82198,0.32147,34.91751,0.05617,0.1895,0.03988,98
Bay of Bengal,6,500.0,16.48271,0.38496,35.11692,0.06367,0.12619,0.03483,91
Bay of Bengal,6,750.0,13.98225,0.39768,35.26822,0.06107,0.07708,0.03684,70
Bay of Bengal,6,1000.0,12.7033,0.33271,35.42641,0.07271,0.06675,0.0281,79
Bay of Bengal,6,1500.0,11.62249,0.32748,35.72819,0.06646,0.04372,0.02405,71
Bay of Bengal,6,2000.0,11.12124,0.32898,36.01628,0.08404,0.04871,0.02453,58
Bay of Bengal,7,0.0,28.36544,0.36966,33.83522,0.06727,0.42648,0.04259,133
Bay of Bengal,7,10.0,27.93601,0.36347,33.9304,0.06722,0.42035,0.04119,124
Bay of Bengal,7,25.0,27.30731,0.37179,34.04929,0.06722,0.41505,0.0415,111
Bay of Bengal,7,50.0,26.35784,0.38019,34.23064,0.06312,0.38973,0.03678,153
Bay of Bengal,7,75.0,25.47878,0.40784,34.37525,0.05698,0.37232,0.04163,121
Bay of Bengal,7,100.0,24.60301,0.37726,34.48944,0.06218,0.35206,0.0421,123
Bay of Bengal,7,150.0,23.09274,0.37109,34.67408,0.06159,0.31955,0.04171,107
Bay of Bengal,7,200.0,21.66304,0.38177,34.79158,0.05836,0.29005,0.03463,107
Bay of Bengal,7,300.0,19.41132,0.34044,34.96212,0.0618,0.23907,0.03744,105
Bay of Bengal,7,500.0,16.11071,0.34554,35.12472,0.06351,0.15956,0.03244,82
Bay of Bengal,7,750.0,13.70405,0.3726,35.26091,0.05552,0.10737,0.03712,79
Bay of Bengal,7,1000.0,12.28335,0.39821,35.43607,0.06497,0.07233,0.03224,79
Bay of Bengal,7,1500.0,11.12161,0.36152,35.73852,0.06014,0.05014,0.02502,85
Bay of Bengal,7,2000.0,10.76017,0.33375,36.05151,0.07633,0.04206,0.02332,67
Bay of Bengal,8,0.0,28.00397,0.36613,33.92209,0.05801,0.43073,0.03614,134
Bay of Bengal,8,10.0,27.54404,0.34571,34.0135,0.05632,0.42694,0.04343,117
Bay of Bengal,8,25.0,26.95989,0.3607,34.131,0.05051,0.40224,0.04256,99
Bay of Bengal,8,50.0,26.00848,0.33423,34.29798,0.05211,0.38723,0.04406,159
Bay of Bengal,8,75.0,25.04037,0.40182,34.44088,0.05867,0.37423,0.03864,143
Bay of Bengal,8,100.0,24.2225,0.36947,34.56104,0.05405,0.35481,0.0415,116
Bay of Bengal,8,150.0,22.60595,0.39229,34.72228,0.06146,0.31998,0.03751,119
Bay of Bengal,8,200.0,21.26644,0.37356,34.84983,0.0645,0.29607,0.03784,105
Bay of Bengal,8,300.0,18.97062,0.35612,35.00765,0.05683,0.23229,0.03475,110
Bay of Bengal,8,500.0,15.69717,0.36154,35.15515,0.06108,0.16235,0.03772,81
Bay of Bengal,8,750.0,13.30479,0.40028,35.29872,0.06146,0.10277,0.03457,101
Bay of Bengal,8,1000.0,11.95944,0.3484,35.46092,0.07016,0.07052,0.02651,76
Bay of Bengal,8,1500.0,10.74349,0.35589,35.76247,0.06865,0.0492,0.0268,60
Bay of Bengal,8,2000.0,10.33223,0.37164,36.08575,0.07174,0.04914,0.02606,56
Bay of Bengal,9,0.0,27.68717,0.34368,33.925,0.05036,0.32572,0.05717,138
Bay of Bengal,9,10.0,27.29834,0.34947,34.0107,0.05112,0.31704,0.0483,95
Bay of Bengal,9,25.0,26.69587,0.34086,34.12752,0.05438,0.31325,0.06003,107
Bay of Bengal,9,50.0,25.74819,0.334,34.30964,0.05666,0.2935,0.05576,146
